city,year,pop,enroll,rent,rnthsg,tothsg,avginc,pctstu
43,90,80071,17751,362,15623,31907,25165,22.169075
44,80,38268,18098,219,7027,12829,11102,47.292778
44,90,36676,14972,354,8544,14172,18501,40.822334
45,80,40960,16072,245,8292,14637,13621,39.238281
45,90,44757,15872,385,9506,16743,23212,35.462608
46,80,105624,19179,249,21538,42323,14959,18.157804
46,90,112669,21440,425,22791,46274,25369,19.029192
47,80,564871,58499,225,111180,217150,14834,10.35617
47,90,632910,74047,422,137242,256996,26651,11.699451
48,80,36130,24358,266,7400,9830,9771,67.417656
48,90,38923,27717,490,8335,10938,18257,71.209824
49,80,101208,17326,203,16366,30436,12393,17.1192
49,90,98052,17312,392,18649,33919,23216,17.655937
50,80,175030,22802,203,33499,68574,11971,13.027481
50,90,165121,21604,332,35081,69973,19923,13.083738
51,80,32845,6495,226,5647,11517,14295,19.7747
51,90,44922,8196,388,8971,17110,26394,18.244959
52,80,37272,22555,282,8798,11967,9789,60.514595
52,90,52456,31212,428,13952,17878,9262,59.501297
53,80,173979,23397,245,25130,60783,15732,13.448174
53,90,186206,28322,381,30940,69143,24130,15.210036
54,80,27149,7657,194,4842,9268,11713,28.203617
54,90,30872,9990,346,6584,11306,15917,32.359421
55,80,101261,12883,207,17571,37578,12007,12.722569
55,90,103590,16308,353,21119,39482,17852,15.742832
56,80,26844,7863,198,4895,9291,12693,29.291462
56,90,32762,9232,328,6293,11034,21312,28.178988
57,80,74108,26926,186,11282,20083,12647,36.333458
57,90,86835,31236,336,14304,23805,21162,35.971672
58,80,37312,8699,243,7415,13107,13048,23.314215
58,90,39127,9972,493,8773,14680,25523,25.486237
59,80,39916,8860,268,8464,15401,13942,22.196613
59,90,40341,9657,469,9215,16009,18592,23.938425
60,80,63684,6331,204,10637,25496,12540,9.9412727
60,90,54844,7013,311,10053,23419,18276,12.787178
61,80,27605,11768,220,5000,9628,10994,42.629959
61,90,25879,11870,355,5334,9588,18022,45.867306
62,80,51509,9610,225,7169,18359,14457,18.656933
62,90,56856,10640,352,8980,21118,24735,18.713943
63,80,48347,9051,220,8224,18085,13458,18.720913
63,90,51003,9961,344,10073,19970,21947,19.530224
64,80,170616,37475,243,34108,66451,16510,21.964529
64,90,191262,44601,472,41029,77361,29420,23.319321
